Job:GiantMarsh-06022025,Version:24.00,Units:USSurveyFeet
gm-4-ep-11,2188273.285,6026018.012,6.615,
gm-4-ep-12,2188274.080,6026013.641,6.570,
gm-4-ep-13,2188274.440,6026010.536,6.572,
gm-4-ep-14,2188274.746,6026006.328,6.627,
gm-4-ep-15,2188275.393,6026002.964,6.677,
gm-4-ep-16,2188275.645,6025999.015,6.622,
gm-4-ep-17,2188276.238,6025994.535,6.672,
gm-4-ep-18,2188276.958,6025990.237,6.673,
gm-4-ep-19,2188277.739,6025986.121,6.742,
gm-4-ep-20,2188278.353,6025982.124,6.639,
gm-4-ep-21,2188278.729,6025978.541,6.624,
gm-4-ep-22,2188279.330,6025975.020,6.679,
gm-4-ep-23,2188279.844,6025971.177,6.691,
gm-4-ep-24,2188280.712,6025966.276,6.722,
gm-4-ep-25,2188279.912,6025963.953,6.615,
gm-4-ep-26,2188280.721,6025960.616,6.624,
gm-4-ep-27,2188281.490,6025956.925,6.582,
gm-4-ep-28,2188281.375,6025953.580,6.610,
gm-4-ep-29,2188280.395,6025949.242,6.646,
gm-4-ep-30,2188280.377,6025945.755,6.602,
gm-4-ep-31,2188280.313,6025942.410,6.630,
gm-4-ep-32,2188281.380,6025938.765,6.623,
gm-4-ep-33,2188281.690,6025935.373,6.620,
gm-4-ep-34,2188281.794,6025931.534,6.595,
gm-4-ep-35,2188282.551,6025927.508,6.632,
gm-4-ep-36,2188283.416,6025923.081,6.564,
gm-4-ep-37,2188283.435,6025918.855,6.627,
gm-4-ep-38,2188283.242,6025915.015,6.641,
gm-4-ep-39,2188283.015,6025911.145,6.734,
gm-4-ep-40,2188283.528,6025907.307,6.640,
gm-4-ep-41,2188283.523,6025901.697,6.638,
gm-4-ep-42,2188283.870,6025896.530,6.634,
gm-4-ep-43,2188284.146,6025892.650,6.705,
gm-4-ep-44,2188284.567,6025889.358,6.769,
gm-4-ep-45,2188284.646,6025885.006,6.762,
gm-4-ep-46,2188285.023,6025880.847,6.779,
gm-4-ep-47,2188285.361,6025878.868,6.822,
gm-4-ep-48,2188285.943,6025876.239,6.831,
gm-4-ep-49,2188286.208,6025874.211,6.893,
