Official_ID,Point_ID,Northing,Easting,Elevation_ussft
,bl-2-tile-2-a,2198538.425,5984838.811,5.869
,bl-2-tile-2-b,2198538.307,5984839.284,5.877
,bl-2-tile-2-c,2198538.211,5984839.725,5.886
,bl-2-green-2-a,2198538.016,5984840.117,5.894
,bl-2-green-2-b,2198537.88,5984840.734,5.907
,bl-2-green-2-c,2198537.915,5984841.328,5.922
,bl-2-tile-0.5-a,2198542.996,5984839.463,5.4
,bl-2-tile-0.5-b,2198542.918,5984840.044,5.37
,bl-2-tile-0.5-c,2198542.873,5984840.613,5.378
,bl-2-green-0.5-a,2198542.764,5984841.088,5.404
,bl-2-green-0.5-b,2198542.577,5984841.74,5.451
,bl-2-green-0.5-c,2198542.396,5984842.485,5.44
BM5,benchmark-final-1,2196783.235,5986419.011,8.286
BM6,benchmark-final-2,2196783.176,5986419.081,8.277
BM7,benchmark-final-3,2196783.177,5986419.073,8.28
