Official_ID,Point_ID,Northing,Easting,Elevation_ussft
,edge-66,2167091.858,5983872.449,5.223
,edge-67,2167092.081,5983870.339,5.362
,edge-68,2167092.209,5983866.789,5.403
,edge-69,2167092.878,5983863.203,5.544
,edge-70,2167092.499,5983860.472,5.293
,edge-71,2167092.056,5983859.522,5.154
,edge-72,2167090.865,5983859.075,5.662
,edge-73,2167089.546,5983860.08,5.645
,edge-74,2167089.13,5983862.202,5.203
,edge-75,2167088.023,5983865.08,5.453
,edge-76,2167086.758,5983868.033,5.577
,edge-77,2167086.057,5983871.079,5.232
,edge-78,2167085.417,5983874.394,5.06
,edge-79,2167085.656,5983876.737,4.605
,edge-80,2167084.569,5983879.436,5.128
,edge-81,2167084.042,5983881.702,5.322
,edge-82,2167082.916,5983883.612,5.429
,edge-83,2167082.139,5983885.64,5.427
,edge-84,2167082.164,5983886.913,5.381
,edge-85,2167081.798,5983889.717,5.03
,edge-86,2167082.161,5983894.077,4.913
,edge-87,2167082.4,5983896.201,4.643
,edge-88,2167082.139,5983897.865,4.656
,edge-89,2167080.928,5983900.12,4.286
,edge-90,2167078.802,5983901.829,4.791
,edge-91,2167076.523,5983902.834,4.904
,edge-92,2167075.588,5983904.608,4.928
,edge-93,2167074.798,5983907.054,4.642
,edge-94,2167072.792,5983908.611,4.923
,edge-95,2167071.076,5983909.909,5.109
,edge-96,2167069.035,5983912.466,4.904
,edge-97,2167064.956,5983914.83,5.063
,edge-98,2167060.742,5983913.967,5.407
,edge-99,2167058.987,5983916.511,5.311
,edge-100,2167056.194,5983917.748,5.2
,s2-c-tile-0.5-a,2167077.941,5983894.97,5.508
,s2-c-tile-0.5-b,2167077.517,5983895.292,5.545
,s2-c-tile-0.5-c,2167077.198,5983895.592,5.568
,s2-c-green-0.5-a,2167076.753,5983895.917,5.568
,s2-c-green-0.5-b,2167076.083,5983896.186,5.599
,s2-c-green-0.5-c,2167075.518,5983896.477,5.586
,s2-c-tile-2-a,2167075.616,5983891.527,5.623
,s2-c-tile-2-b,2167075.225,5983891.69,5.626
,s2-c-tile-2-c,2167074.793,5983891.852,5.633
