Location,Route_ID,Transect_ID,Point_ID,Distance_AlongTransect_sft,Distance_AlongTransect_m,Distance_OffTransect,Northing,Easting,Elevation_sft,Elevation_m,Date
Giant,xsD,xsD,XSD-12,17.10051945,5.212238327,-2.122459415,2188287.126,6025868.295,7.042,2.146405893,6/2/2025
Giant,xsD,xsD,XSD-13pin,19.65342275,5.990363253,-2.246948585,2188286.742,6025870.822,6.974,2.125679451,6/2/2025
Giant,xsD,xsD,XSD-13,25.41394354,7.74616999,-3.075552415,2188285.33,6025876.468,6.74,2.054356109,6/2/2025
Giant,xsD,xsD,XSD-14,32.73244089,9.976847984,-2.932466436,2188284.726,6025883.763,6.788,2.068986538,6/2/2025
Giant,xsD,xsD,XSD-15,37.31624709,11.37399211,-2.303924198,2188284.884,6025888.387,6.747,2.056489713,6/2/2025
Giant,xsD,xsD,XSD-16,43.66607414,13.3094194,-2.340612954,2188284.2,6025894.7,6.588,2.008026416,6/2/2025
Giant,xsD,xsD,XSD-17,49.35267481,15.04269528,-1.997749726,2188283.961,6025900.392,6.567,2.001625603,6/2/2025
Giant,xsD,xsD,XSD-18,55.85937169,17.02593649,-1.985046957,2188283.31,6025906.866,6.572,2.003149606,6/2/2025
Giant,xsD,xsD,XSD-19,64.10292213,19.53857066,-1.33322702,2188283.118,6025915.133,6.574,2.003759208,6/2/2025
Giant,xsD,xsD,XSD-20,71.03460895,21.65134881,-1.573449281,2188282.172,6025922.004,6.5,1.981203962,6/2/2025
Giant,xsD,xsD,XSD-21,79.31744657,24.17595771,-0.638918488,2188282.257,6025930.339,6.474,1.973279147,6/2/2025
Giant,xsD,xsD,XSD-22,88.12175626,26.85951131,-0.946724321,2188281.053,6025939.066,6.525,1.988823978,6/2/2025
Giant,xsD,xsD,XSD-23,95.81232457,29.20359653,-2.354815245,2188278.868,6025946.573,6.521,1.987604775,6/2/2025
Giant,xsD,xsD,XSD-24,105.1374931,32.04590791,-2.242154947,2188278.029,6025955.861,6.652,2.027533655,6/2/2025
Giant,xsD,xsD,XSD-25,113.3591255,34.55186144,-1.611380694,2188277.818,6025964.104,6.556,1.998272797,6/2/2025
Giant,xsD,xsD,XSD-26,121.7508225,37.10965071,0.390997889,2188278.954,6025972.656,6.563,2.000406401,6/2/2025
Giant,xsD,xsD,XSD-27,122.2472218,37.2609532,0.499931359,2188279.012,6025973.161,6.581,2.005892812,6/2/2025
Giant,xsD,xsD,XSD-28,122.7256845,37.40678862,0.548980772,2188279.012,6025973.642,6.649,2.026619253,6/2/2025
Giant,xsD,xsD,XSD-29,126.9449619,38.69282439,0.380617673,2188278.414,6025977.822,6.633,2.021742443,6/2/2025
Giant,xsD,xsD,XSD-30,132.9284736,40.51659875,0.317259731,2188277.741,6025983.768,6.557,1.998577597,6/2/2025
Giant,xsD,xsD,XSD-31,138.69396,42.27391899,0.234849039,2188277.071,6025989.495,6.524,1.988519177,6/2/2025
Giant,xsD,xsD,XSD-32,141.4005426,43.09888539,-0.053628262,2188276.508,6025992.158,6.545,1.99491999,6/2/2025
Giant,xsD,xsD,XSD-33,144.7942475,44.13328663,0.20984655,2188276.424,6025995.561,6.484,1.976327153,6/2/2025
Giant,xsD,xsD,XSD-34,148.7949819,45.35271049,0.387799123,2188276.193,6025999.559,6.669,2.032715265,6/2/2025
Giant,xsD,xsD,XSD-35,151.9601355,46.3174493,0.323106324,2188275.806,6026002.701,6.43,1.95986792,6/2/2025
Giant,xsD,xsD,XSD-36,153.4644109,46.77595244,0.258327482,2188275.588,6026004.191,6.527,1.989433579,6/2/2025
Giant,xsD,xsD,XSD-37,158.3970953,48.27943465,-0.055230415,2188274.773,6026009.066,6.466,1.970840742,6/2/2025
Giant,xsD,xsD,XSD-38,163.2096486,49.74630089,-0.226425997,2188274.112,6026013.836,6.547,1.995529591,6/2/2025
Giant,xsD,xsD,XSD-39,169.2655185,51.59213004,-0.374710944,2188273.347,6026019.845,6.549,1.996139192,6/2/2025
Giant,xsD,xsD,XSD-40,175.0042997,53.34131056,-0.482945497,2188272.654,6026025.543,6.515,1.985775972,6/2/2025
Giant,xsD,xsD,XSD-41,177.1903144,54.00760782,-0.036559983,2188272.875,6026027.763,6.607,2.013817628,6/2/2025
Giant,xsD,xsD,XSD-42,182.6581429,55.67420196,0.587294451,2188272.938,6026033.266,6.578,2.00497841,6/2/2025
Giant,xsD,xsD,XSD-43,184.9539679,56.37396942,0.499773138,2188272.617,6026035.541,6.542,1.994005588,6/2/2025
Giant,xsD,xsD,XSD-44,189.7082065,57.82306134,0.43737081,2188272.07,6026040.264,6.539,1.993091186,6/2/2025
Giant,xsD,xsD,XSD-45,193.2164329,58.89236876,0.162804533,2188271.439,6026043.726,6.669,2.032715265,6/2/2025
Giant,xsD,xsD,XSD-46,194.823519,59.38220859,-0.168139254,2188270.946,6026045.291,6.681,2.036372873,6/2/2025
Giant,xsD,xsD,XSD-47,197.9696331,60.34114416,-0.085713017,2188270.707,6026048.429,6.795,2.071120142,6/2/2025
