Site,Transect_ID,Point_ID,Northing,Easting,Distance_AlongTransect_m,Distance_AlongTransect_ft,Elevation_ft,Elevation_m,Date,...11,...12,...13,FID,MSL,MHHW,z_star
CorteMadera,C1,C1-6c,2167178.715,5983814.884,5.620126896,18.438699656404722,5.423,1.6529337058674116,3/6/2026,NA,NA,NA,512,3.32,6.07,0.764727273
CorteMadera,C1,C1-2a,2167184.363,5983827.391,1.4439228787427056,4.737270311341693,5.401,1.6462280924561847,3/6/2026,NA,NA,NA,512,3.32,6.07,0.756727273
CorteMadera,C1,C1-2b,2167183.739,5983827.638,1.4453620802990452,4.741992091781118,5.407,1.6480568961137922,3/6/2026,NA,NA,NA,512,3.32,6.07,0.758909091
CorteMadera,C1,C1-2c,2167183.33,5983827.622,1.5085086876118006,4.949165585939716,5.401,1.6462280924561847,3/6/2026,NA,NA,NA,512,3.32,6.07,0.756727273
CorteMadera,C1,C1-0.5a,2167185.822,5983831.898,0,0,5.444,1.6593345186690371,3/6/2026,NA,NA,NA,512,3.32,6.07,0.772363636
CorteMadera,C1,C1-0.5b,2167185.146,5983831.997,0.2082430689532448,0.6832108020574373,5.474,1.6684785369570738,3/6/2026,NA,NA,NA,512,3.32,6.07,0.783272727
CorteMadera,C1,C1-0.5c,2167184.582,5983831.953,0.3783243562938479,1.2412191589407329,5.451,1.6614681229362456,3/6/2026,NA,NA,NA,512,3.32,6.07,0.774909091
CorteMadera,C2,C2-0.5a,2167077.919,5983895.255,0,0,5.319,1.621234442468885,3/6/2026,NA,NA,NA,512,3.32,6.07,0.726909091
CorteMadera,C2,C2-0.5b,2167077.544,5983895.463,0.1307054531381059,0.42882280750393575,5.378,1.6392176784353567,3/6/2026,NA,NA,NA,512,3.32,6.07,0.748363636
CorteMadera,C2,C2-0.5c,2167077.186,5983895.635,0.2516569763633934,0.8256445966188999,5.412,1.6495808991617982,3/6/2026,NA,NA,NA,512,3.32,6.07,0.760727273
CorteMadera,C2,C2-2a,2167075.59,5983891.581,1.3258832473238216,4.350001953928238,5.434,1.656286512573025,3/6/2026,NA,NA,NA,512,3.32,6.07,0.768727273
CorteMadera,C2,C2-2b,2167075.202,5983891.731,1.3562998676319462,4.449793815722477,5.428,1.6544577089154178,3/6/2026,NA,NA,NA,512,3.32,6.07,0.766545455
CorteMadera,C2,C2-2c,2167074.875,5983891.799,1.4037341161924148,4.605417679541281,5.432,1.6556769113538228,3/6/2026,NA,NA,NA,512,3.32,6.07,0.768
CorteMadera,C2,C2-6a,2167069.797,5983879.828,5.314023699613622,17.43442608781569,5.454,1.6623825247650494,3/6/2026,NA,NA,NA,512,3.32,6.07,0.776
CorteMadera,C2,C2-6b,2167069.338,5983879.865,5.370770630302889,17.620603309585398,5.488,1.6727457454914911,3/6/2026,NA,NA,NA,512,3.32,6.07,0.788363636
CorteMadera,C2,C2-6c,2167068.786,5983880.149,5.380425150573233,17.652278181505682,5.471,1.6675641351282702,3/6/2026,NA,NA,NA,512,3.32,6.07,0.782181818
CorteMadera,C2,C2-12a,2167061.203,5983862.263,11.273077309249924,36.985087805430794,5.462,1.664820929641859,3/6/2026,NA,NA,NA,512,3.32,6.07,0.778909091
CorteMadera,C2,C2-12b,2167060.75,5983862.496,11.273200604835235,36.98549231769694,5.463,1.6651257302514604,3/6/2026,NA,NA,NA,512,3.32,6.07,0.779272727
CorteMadera,C2,C2-12c,2167060.318,5983862.727,11.272950662390391,36.98467229819248,5.465,1.6657353314706629,3/6/2026,NA,NA,NA,512,3.32,6.07,0.78
CorteMadera,C2,C2-18a,2167052.415,5983844.29,17.370653972052764,56.990220573309784,5.454,1.6623825247650494,3/6/2026,NA,NA,NA,512,3.32,6.07,0.776
CorteMadera,C2,C2-18b,2167052.063,5983844.521,17.356170766269233,56.942703589001646,5.47,1.6672593345186688,3/6/2026,NA,NA,NA,512,3.32,6.07,0.781818182
CorteMadera,C2,C2-18c,2167051.699,5983844.896,17.305367745351415,56.77602734454044,5.503,1.6773177546355091,3/6/2026,NA,NA,NA,512,3.32,6.07,0.793818182
CorteMadera,C2,C2-24a,2167043.625,5983827.08,23.26071840445717,76.31454029862323,5.51,1.6794513589027176,3/6/2026,NA,NA,NA,512,3.32,6.07,0.796363636
CorteMadera,C2,C2-24b,2167043.232,5983827.296,23.25613401189764,76.29949967070084,5.526,1.6843281686563372,3/6/2026,NA,NA,NA,512,3.32,6.07,0.802181818
CorteMadera,C2,C2-24c,2167042.918,5983827.452,23.257538458470485,76.30410742583192,5.496,1.6751841503683007,3/6/2026,NA,NA,NA,512,3.32,6.07,0.791272727
CorteMadera,C2,C2-48a,2167007.426,5983757.142,47.26322798016171,155.0627737982472,5.51,1.6794513589027176,3/6/2026,NA,NA,NA,512,3.32,6.07,0.796363636
CorteMadera,C2,C2-48b,2167007.039,5983757.312,47.27087557636883,155.0878642868034,5.519,1.6821945643891287,3/6/2026,NA,NA,NA,512,3.32,6.07,0.799636364
CorteMadera,C2,C2-48c,2167006.734,5983757.426,47.28255987275515,155.1261985158642,5.489,1.673050546101092,3/6/2026,NA,NA,NA,512,3.32,6.07,0.788727273
Buck'sLanding,B1,B1-48a,2198385.482,5984794.752,47.35309875857647,155.35762484376298,6.092,1.856845313690627,3/6/2026,NA,NA,NA,567,3.326,6.152,0.978768577
