Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-36,ep,C3,elevation profile,,,36.0,1736575.102,6416235.215,5.796,1.766624333,51.82,37.9295793,-122.5041459,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-37,ep,C3,elevation profile,,,37.0,1736573.019,6416224.189,5.729,1.746202692,55.24,37.9295735,-122.504184,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-38,ep,C3,elevation profile,,,38.0,1736569.938,6416215.686,5.81,1.770891542,58.0,37.9295649,-122.5042135,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-39,ep,C3,elevation profile,,,39.0,1736566.233,6416202.438,5.741,1.7498603,62.19,37.9295545,-122.5042593,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-3-ep-40,ep,C3,elevation profile,,,40.0,1736562.294,6416194.359,5.661,1.725476251,64.93,37.9295436,-122.5042872,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-1,ep,C4,elevation profile,,,1.0,1736532.282,6416464.893,2.149,0.65501651,-4.09,37.9294653,-122.5033489,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-2,ep,C4,elevation profile,,,2.0,1736531.098,6416463.984,2.14,0.652273305,-3.64,37.929462,-122.503352,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-3,ep,C4,elevation profile,,,3.0,1736530.005,6416463.145,2.095,0.638557277,-3.22,37.929459,-122.5033549,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-4,ep,C4,elevation profile,,,4.0,1736528.392,6416461.781,2.517,0.767183134,-2.57,37.9294545,-122.5033596,CA zone II (EPSG:2226)
Corte Madera,corte-madera-06162025-final.csv,2025-06-16,c-4-ep-5,ep,C4,elevation profile,,,5.0,1736528.377,6416461.711,2.41,0.734569469,-2.55,37.9294545,-122.5033598,CA zone II (EPSG:2226)
