Location,FileName,SurveyDate,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-4,ep,GM5,elevation profile,,,4.0,2188366.661,6025878.241,3.132,0.954635509,-3.72,37.9902729,-122.3593122,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-5,ep,GM5,elevation profile,,,5.0,2188366.431,6025879.111,3.249,0.990297181,-3.45,37.9902724,-122.3593091,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-6,ep,GM5,elevation profile,,,6.0,2188366.156,6025879.564,3.471,1.057962916,-3.29,37.9902716,-122.3593075,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-7,ep,GM5,elevation profile,,,7.0,2188365.926,6025880.243,3.736,1.138735077,-3.07,37.990271,-122.3593052,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-8,ep,GM5,elevation profile,,,8.0,2188365.749,6025880.919,4.019,1.22499365,-2.85,37.9902706,-122.3593028,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-9,ep,GM5,elevation profile,,,9.0,2188365.68,6025881.434,4.116,1.254559309,-2.7,37.9902704,-122.359301,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-10,ep,GM5,elevation profile,,,10.0,2188365.536,6025882.367,4.532,1.381356363,-2.41,37.9902701,-122.3592978,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-11,ep,GM5,elevation profile,,,11.0,2188365.561,6025882.332,4.503,1.372517145,-2.39,37.9902701,-122.3592979,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-12,ep,GM5,elevation profile,,,12.0,2188365.533,6025882.824,5.745,1.751079502,-2.24,37.9902701,-122.3592962,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-13,ep,GM5,elevation profile,,,13.0,2188365.37,6025883.511,6.779,2.066243332,-2.03,37.9902697,-122.3592938,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-14,ep,GM5,elevation profile,,,14.0,2188365.19,6025884.129,6.886,2.098856998,-1.83,37.9902692,-122.3592916,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-15,ep,GM5,elevation profile,,,15.0,2188364.53,6025886.27,6.921,2.109525019,-1.15,37.9902675,-122.3592842,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-16pin,ep,GM5,elevation profile,,,16.0,2188363.608,6025889.928,6.838,2.084226568,0.0,37.9902652,-122.3592714,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-17,ep,GM5,elevation profile,,,17.0,2188362.974,6025895.157,6.868,2.093370587,1.61,37.9902637,-122.3592532,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-18,ep,GM5,elevation profile,,,18.0,2188362.636,6025901.096,6.751,2.057708915,3.42,37.9902631,-122.3592326,CA zone III (EPSG:2227)
Giant Marsh,giant-marsh-06022025-final.csv,2025-06-02,gm-5-ep-19,ep,GM5,elevation profile,,,19.0,2188362.944,6025909.818,6.656,2.028752857,6.08,37.9902645,-122.3592024,CA zone III (EPSG:2227)
