Site,PlotID,Month,Season,Year,Species,Cover,AvgHt,MaxHt
C,T2-18,JUNE,SUMMER,2026,SPFO,35,55.25,62
C,T2-18,JUNE,SUMMER,2026,JACA,45,25.5,28
C,T2-24,JUNE,SUMMER,2026,SPFO,20,53.75,57
C,T2-24,JUNE,SUMMER,2026,SAPA,25,33.75,38
C,T2-24,JUNE,SUMMER,2026,JACA,65,23.375,24.5
C,T2-48,JUNE,SUMMER,2026,DISP,90,31,33
C,T2-48,JUNE,SUMMER,2026,SPFO,5,56,56
S ,T1-0.5,JUNE,SUMMER,2026,SAPA,35,57,66
S ,T1-0.5,JUNE,SUMMER,2026,SPFO,35,67.125,76
S ,T1-2,JUNE,SUMMER,2026,SAPA,75,51.625,69.5
S ,T1-6,JUNE,SUMMER,2026,SAPA,60,61.125,65
S ,T1-12,JUNE,SUMMER,2026,SAPA,65,46,55
S ,T1-18,JUNE,SUMMER,2026,SAPA,80,58.75,69
S ,T1-24,JUNE,SUMMER,2026,SAPA,95,55.5,58.5
S ,T1-48,JUNE,SUMMER,2026,SAPA,95,49.125,60
S ,T2-0.5,JUNE,SUMMER,2026,SPFO,40,77.75,85
S ,T2-0.5,JUNE,SUMMER,2026,SAPA,30,53.75,56
S ,T2-2,JUNE,SUMMER,2026,SPFO,35,87.25,93
S ,T2-2,JUNE,SUMMER,2026,SAPA,30,54.5,68
S ,T2-6,JUNE,SUMMER,2026,SAPA,80,50,55
S ,T2-12,JUNE,SUMMER,2026,SAPA,90,52.125,56
S ,T2-18,JUNE,SUMMER,2026,SAPA,85,61.75,65
S ,T2-24,JUNE,SUMMER,2026,SAPA,95,56,59.5
S ,T2-48,JUNE,SUMMER,2026,SAPA,95,50.25,58
