Location,FileName,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
San Pablo,san-pablo-final.csv,s1-green-2c,green,S1,green,2,c,,1804113.227,6425339.053,5.936,1.809,1.62,38.1151569,-122.4738082,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-6a,green,S1,green,6,a,,1804126.042,6425342.273,6.079,1.853,5.54,38.1151921,-122.4737972,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-6b,green,S1,green,6,b,,1804125.942,6425341.343,6.036,1.840,5.51,38.1151919,-122.4738004,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-6c,green,S1,green,6,c,,1804125.925,6425340.564,6.008,1.831,5.50,38.1151918,-122.4738031,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-12-a,green,S1,green,12,a,,1804145.875,6425342.122,6.346,1.934,11.59,38.1152466,-122.4737981,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-12-b,green,S1,green,12,b,,1804145.883,6425341.389,6.368,1.941,11.58,38.1152466,-122.4738006,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-12-c,green,S1,green,12,c,,1804145.801,6425340.72,6.343,1.933,11.55,38.1152464,-122.4738030,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-18-a,green,S1,green,18,a,,1804164.949,6425343.062,6.593,2.010,17.41,38.1152990,-122.4737952,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-18-b,green,S1,green,18,b,,1804164.878,6425342.368,6.624,2.019,17.38,38.1152988,-122.4737976,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-18-c,green,S1,green,18,c,,1804165.035,6425341.689,6.614,2.016,17.42,38.1152992,-122.4737999,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-green-24-a,green,S1,green,24,a,,1804184.546,6425343.858,6.713,2.046,23.38,38.1153528,-122.4737927,CA zone II (EPSG:2226)
