Site,Tran,Dist,fitted_elevation_m,local_slope,surveyed_min,surveyed_max,extrapolated
SanPablo,T1,18,2.068566284857941,0.024001364885002433,-14.667049608749998,95.31672733922,FALSE
SanPablo,T1,24,2.037429934956382,0.01741473153111573,-14.667049608749998,95.31672733922,FALSE
SanPablo,T1,48,2.0680424869475282,-0.0012651563959624375,-14.667049608749998,95.31672733922,FALSE
SanPablo,T2,0.5,1.9776110105035407,0.013041852468742749,-33.69183686146,56.90209684927001,FALSE
SanPablo,T2,2,1.9960940502981115,0.011542467121377359,-33.69183686146,56.90209684927001,FALSE
SanPablo,T2,6,2.0337458535335737,0.007308026060899255,-33.69183686146,56.90209684927001,FALSE
SanPablo,T2,12,2.059116795755984,7.536119889995986e-4,-33.69183686146,56.90209684927001,FALSE
SanPablo,T2,18,2.053170271773423,-0.0019338803816731994,-33.69183686146,56.90209684927001,FALSE
SanPablo,T2,24,2.04343186206419,-7.498068190482683e-4,-33.69183686146,56.90209684927001,FALSE
SanPablo,T2,48,2.0664739570769344,0.004730193415007928,-33.69183686146,56.90209684927001,FALSE
Buck'sLanding,T1,0.5,1.7010695502979745,0.17785756524338506,-5.367234241,36.146837227,FALSE
Buck'sLanding,T1,2,1.858339098018449,0.029683759366552744,-5.367234241,36.146837227,FALSE
Buck'sLanding,T1,6,1.8720950223241668,0.011042868133608962,-5.367234241,36.146837227,FALSE
Buck'sLanding,T1,12,1.8663152905950524,-0.0017258381248208801,-5.367234241,36.146837227,FALSE
Buck'sLanding,T1,18,1.8408866750284556,-0.02221947652684898,-5.367234241,36.146837227,FALSE
Buck'sLanding,T1,24,1.8505249450567665,0.02688120789993156,-5.367234241,36.146837227,FALSE
Buck'sLanding,T1,48,1.9213412083643293,0.007092428831967581,-5.367234241,36.146837227,TRUE
Buck'sLanding,T2,0.5,1.8307718827004937,-4.902368587095996e-4,-9.220044054,32.351144799,FALSE
Buck'sLanding,T2,2,1.8375292375952914,0.008793356844285838,-9.220044054,32.351144799,FALSE
Buck'sLanding,T2,6,1.8947390356307319,0.012184614823766728,-9.220044054,32.351144799,FALSE
Buck'sLanding,T2,12,1.8694116559719185,0.026617833671461616,-9.220044054,32.351144799,FALSE
Buck'sLanding,T2,18,1.9112682741845786,-0.015477125312065262,-9.220044054,32.351144799,FALSE
Buck'sLanding,T2,24,1.8589100935344454,0.01213652588304522,-9.220044054,32.351144799,FALSE
Buck'sLanding,T2,48,1.4953854337338937,-0.02376690670714356,-9.220044054,32.351144799,TRUE
